No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
66,Ethics and Religious Studies,,Total,Percentage,,,96.0,0.8%,3.7%,9.2%,30.0%,66.8%,91.7%,97.8%,2.2%
67,Geography,,Male,Number,3209,3038,,46,165,387,1101,1874,2646,2956,82
68,Geography,,Male,Percentage,,,61.7,1.5%,5.4%,12.7%,36.2%,61.7%,87.1%,97.3%,2.7%
69,Geography,,Female,Number,3889,3784,,42,190,478,1479,2446,3389,3724,60
70,Geography,,Female,Percentage,,,50.3,1.1%,5.0%,12.6%,39.1%,64.6%,89.6%,98.4%,1.6%
71,Geography,,Total,Number,7098,6822,,88,355,865,2580,4320,6035,6680,142
72,Geography,,Total,Percentage,,,55.4,1.3%,5.2%,12.7%,37.8%,63.3%,88.5%,97.9%,2.1%
73,Health Management and Social Care,,Male,Number,243,217,,0,3,4,25,73,155,196,21
74,Health Management and Social Care,,Male,Percentage,,,99.1,0.0%,1.4%,1.8%,11.5%,33.6%,71.4%,90.3%,9.7%
75,Health Management and Social Care,,Female,Number,486,469,,3,10,25,103,229,409,448,21
76,Health Management and Social Care,,Female,Percentage,,,92.8,0.6%,2.1%,5.3%,22.0%,48.8%,87.2%,95.5%,4.5%
77,Health Management and Social Care,,Total,Number,729,686,,3,13,29,128,302,564,644,42
78,Health Management and Social Care,,Total,Percentage,,,94.8,0.4%,1.9%,4.2%,18.7%,44.0%,82.2%,93.9%,6.1%
79,History,,Male,Number,1965,1877,,18,93,253,859,1374,1756,1852,25
80,History,,Male,Percentage,,,67.0,1.0%,5.0%,13.5%,45.8%,73.2%,93.6%,98.7%,1.3%
81,History,,Female,Number,2248,2183,,41,149,346,1044,1687,2078,2160,23
82,History,,Female,Percentage,,,52.0,1.9%,6.8%,15.8%,47.8%,77.3%,95.2%,98.9%,1.1%
83,History,,Total,Number,4213,4060,,59,242,599,1903,3061,3834,4012,48
84,History,,Total,Percentage,,,58.9,1.5%,6.0%,14.8%,46.9%,75.4%,94.4%,98.8%,1.2%
85,Information and Communication Technology,,Male,Number,3953,3760,,56,207,509,1285,2135,3123,3542,218
86,Information and Communication Technology,,Male,Percentage,,,59.7,1.5%,5.5%,13.5%,34.2%,56.8%,83.1%,94.2%,5.8%
87,Information and Communication Technology,,Female,Number,1236,1183,,8,48,116,341,635,953,1106,77
88,Information and Communication Technology,,Female,Percentage,,,40.2,0.7%,4.1%,9.8%,28.8%,53.7%,80.6%,93.5%,6.5%
89,Information and Communication Technology,,Total,Number,5189,4943,,64,255,625,1626,2770,4076,4648,295
90,Information and Communication Technology,,Total,Percentage,,,55.0,1.3%,5.2%,12.6%,32.9%,56.0%,82.5%,94.0%,6.0%
91,Liberal Studies,,Male,Number,20957,20433,,127,485,1379,6314,12866,17940,19882,551
92,Liberal Studies,,Male,Percentage,,,86.8,0.6%,2.4%,6.7%,30.9%,63.0%,87.8%,97.3%,2.7%
93,Liberal Studies,,Female,Number,20394,20091,,255,1069,2554,8934,15030,18690,19874,217
94,Liberal Studies,,Female,Percentage,,,80.3,1.3%,5.3%,12.7%,44.5%,74.8%,93.0%,98.9%,1.1%
95,Liberal Studies,,Total,Number,41351,40524,,382,1554,3933,15248,27896,36630,39756,768
96,Liberal Studies,,Total,Percentage,,,83.6,0.9%,3.8%,9.7%,37.6%,68.8%,90.4%,98.1%,1.9%
97,Literature in English,,Male,Number,20,20,,0,0,3,4,10,13,15,5
98,Literature in English,,Male,Percentage,,,-,0.0%,0.0%,15.0%,20.0%,50.0%,65.0%,75.0%,25.0%
99,Literature in English,,Female,Number,190,186,,5,20,48,114,161,180,184,2
100,Literature in English,,Female,Percentage,,,-,2.7%,10.8%,25.8%,61.3%,86.6%,96.8%,98.9%,1.1%
101,Literature in English,,Total,Number,210,206,,5,20,51,118,171,193,199,7
102,Literature in English,,Total,Percentage,,,-,2.4%,9.7%,24.8%,57.3%,83.0%,93.7%,96.6%,3.4%
103,Mathematics,Compulsory Part,Male,Number,20971,20497,,454,1574,3568,8406,12026,16718,18851,1646
104,Mathematics,Compulsory Part,Male,Percentage,,,42.3,2.2%,7.7%,17.4%,41.0%,58.7%,81.6%,92.0%,8.0%
105,Mathematics,Compulsory Part,Female,Number,20400,20087,,129,763,2289,7272,11612,16632,18728,1359
106,Mathematics,Compulsory Part,Female,Percentage,,,33.6,0.6%,3.8%,11.4%,36.2%,57.8%,82.8%,93.2%,6.8%
107,Mathematics,Compulsory Part,Total,Number,41371,40584,,583,2337,5857,15678,23638,33350,37579,3005
108,Mathematics,Compulsory Part,Total,Percentage,,,38.0,1.4%,5.8%,14.4%,38.6%,58.2%,82.2%,92.6%,7.4%
109,Mathematics,Extended Part (Calculus and Statistics),Male,Number,1167,1117,,41,173,367,610,799,961,1056,61
110,Mathematics,Extended Part (Calculus and Statistics),Male,Percentage,,,21.9,3.7%,15.5%,32.9%,54.6%,71.5%,86.0%,94.5%,5.5%
111,Mathematics,Extended Part (Calculus and Statistics),Female,Number,950,903,,20,96,281,522,676,806,870,33
112,Mathematics,Extended Part (Calculus and Statistics),Female,Percentage,,,15.6,2.2%,10.6%,31.1%,57.8%,74.9%,89.3%,96.3%,3.7%
113,Mathematics,Extended Part (Calculus and Statistics),Total,Number,2117,2020,,61,269,648,1132,1475,1767,1926,94
114,Mathematics,Extended Part (Calculus and Statistics),Total,Percentage,,,19.1,3.0%,13.3%,32.1%,56.0%,73.0%,87.5%,95.3%,4.7%
115,Mathematics,Extended Part (Algebra and Calculus),Male,Number,2927,2816,,142,522,1225,1822,2319,2649,2769,47
116,Mathematics,Extended Part (Algebra and Calculus),Male,Percentage,,,11.0,5.0%,18.5%,43.5%,64.7%,82.4%,94.1%,98.3%,1.7%
117,Mathematics,Extended Part (Algebra and Calculus),Female,Number,1215,1162,,18,111,372,656,888,1066,1132,30
118,Mathematics,Extended Part (Algebra and Calculus),Female,Percentage,,,12.0,1.5%,9.6%,32.0%,56.5%,76.4%,91.7%,97.4%,2.6%
119,Mathematics,Extended Part (Algebra and Calculus),Total,Number,4142,3978,,160,633,1597,2478,3207,3715,3901,77
120,Mathematics,Extended Part (Algebra and Calculus),Total,Percentage,,,11.3,4.0%,15.9%,40.1%,62.3%,80.6%,93.4%,98.1%,1.9%
121,Music,,Male,Number,82,80,,4,16,37,58,73,79,79,1
122,Music,,Male,Percentage,,,1.3,5.0%,20.0%,46.3%,72.5%,91.3%,98.8%,98.8%,1.3%
123,Music,,Female,Number,85,83,,1,4,13,44,62,82,83,0
124,Music,,Female,Percentage,,,4.8,1.2%,4.8%,15.7%,53.0%,74.7%,98.8%,100.0%,0.0%
125,Music,,Total,Number,167,163,,5,20,50,102,135,161,162,1
126,Music,,Total,Percentage,,,3.1,3.1%,12.3%,30.7%,62.6%,82.8%,98.8%,99.4%,0.6%
127,Physical Education,,Male,Number,740,708,,2,3,11,94,279,503,641,67
128,Physical Education,,Male,Percentage,,,89.5,0.3%,0.4%,1.6%,13.3%,39.4%,71.0%,90.5%,9.5%
129,Physical Education,,Female,Number,234,228,,1,8,17,60,124,170,207,21
130,Physical Education,,Female,Percentage,,,78.1,0.4%,3.5%,7.5%,26.3%,54.4%,74.6%,90.8%,9.2%
131,Physical Education,,Total,Number,974,936,,3,11,28,154,403,673,848,88
132,Physical Education,,Total,Percentage,,,86.8,0.3%,1.2%,3.0%,16.5%,43.1%,71.9%,90.6%,9.4%
133,Physics,,Male,Number,6547,6276,,215,830,1983,3335,4639,5679,6124,152
134,Physics,,Male,Percentage,,,27.9,3.4%,13.2%,31.6%,53.1%,73.9%,90.5%,97.6%,2.4%
135,Physics,,Female,Number,2427,2323,,36,184,542,1106,1675,2096,2272,51
136,Physics,,Female,Percentage,,,19.0,1.5%,7.9%,23.3%,47.6%,72.1%,90.2%,97.8%,2.2%
137,Physics,,Total,Number,8974,8599,,251,1014,2525,4441,6314,7775,8396,203
138,Physics,,Total,Percentage,,,25.5,2.9%,11.8%,29.4%,51.6%,73.4%,90.4%,97.6%,2.4%
139,Science,"Combined Science (Biology, Chemistry)",Male,Number,92,79,,0,0,1,9,30,54,68,11
140,Science,"Combined Science (Biology, Chemistry)",Male,Percentage,,,87.3,0.0%,0.0%,1.3%,11.4%,38.0%,68.4%,86.1%,13.9%
141,Science,"Combined Science (Biology, Chemistry)",Female,Number,63,62,,0,1,3,7,18,34,50,12
142,Science,"Combined Science (Biology, Chemistry)",Female,Percentage,,,85.5,0.0%,1.6%,4.8%,11.3%,29.0%,54.8%,80.6%,19.4%
143,Science,"Combined Science (Biology, Chemistry)",Total,Number,155,141,,0,1,4,16,48,88,118,23
144,Science,"Combined Science (Biology, Chemistry)",Total,Percentage,,,86.5,0.0%,0.7%,2.8%,11.3%,34.0%,62.4%,83.7%,16.3%
145,Science,"Combined Science (Biology, Physics)",Male,Number,10,10,,0,0,0,2,7,10,10,0
146,Science,"Combined Science (Biology, Physics)",Male,Percentage,,,100.0,0.0%,0.0%,0.0%,20.0%,70.0%,100.0%,100.0%,0.0%
147,Science,"Combined Science (Biology, Physics)",Female,Number,4,4,,0,0,0,0,0,0,3,1
148,Science,"Combined Science (Biology, Physics)",Female,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,25.0%
149,Science,"Combined Science (Biology, Physics)",Total,Number,14,14,,0,0,0,2,7,10,13,1
150,Science,"Combined Science (Biology, Physics)",Total,Percentage,,,100.0,0.0%,0.0%,0.0%,14.3%,50.0%,71.4%,92.9%,7.1%
151,Science,"Combined Science (Chemistry, Physics)",Male,Number,38,35,,0,0,3,9,16,25,31,4
152,Science,"Combined Science (Chemistry, Physics)",Male,Percentage,,,80.0,0.0%,0.0%,8.6%,25.7%,45.7%,71.4%,88.6%,11.4%
153,Science,"Combined Science (Chemistry, Physics)",Female,Number,34,32,,0,0,0,4,18,25,29,3
